(-41.1, -421.4, -106.4)
(-41.0, -423.6, -106.8)
(-41.3, -421.8, -106.4)
(-41.1, -421.5, -106.5)
(-41.0, -423.6, -106.8)
(-41.4, -421.8, -106.4)
(-41.0, -423.6, -106.8)
(-41.0, -423.6, -106.9)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.9)
(-41.0, -423.6, -106.9)
(-41.3, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.3, -421.8, -106.3)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.1, -421.4, -106.4)
(-41.0, -423.6, -106.8)
